TrigReport ---------- Event  Summary ------------
TrigReport Events total = 1000 passed = 228 failed = 772

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1   69        206        206          0          0 hltParticleFlowClusterHCALForEgamma
TrigReport     1   70        206        206          0          0 hltEgammaHcalPFClusterIso
TrigReport     1   71        206        206          0          0 hltEle25WPNoneHcalIsoFilter
TrigReport     1   72        206        206          0          0 hltSiPixelDigis
TrigReport     1   73        206        206          0          0 hltSiPixelClusters
TrigReport     1   74        206        206          0          0 hltSiPixelClustersCache
TrigReport     1   75        206        206          0          0 hltSiPixelRecHits
TrigReport     1   76        206        206          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1   77        206        206          0          0 hltSiStripRawToClustersFacility
TrigReport     1   78        206        206          0          0 hltSiStripClusters
TrigReport     1   79        206        206          0          0 hltPixelLayerTriplets
TrigReport     1   80        206        206          0          0 hltEgammaHoverE
TrigReport     1   81        206        206          0          0 hltEgammaSuperClustersToPixelMatch
TrigReport     1   82        206        206          0          0 hltEleSeedsTrackingRegions
TrigReport     1   83        206        206          0          0 hltElePixelHitDoublets
TrigReport     1   84        206        206          0          0 hltElePixelHitTriplets
TrigReport     1   85        206        206          0          0 hltElePixelSeedsDoublets
TrigReport     1   86        206        206          0          0 hltElePixelSeedsTriplets
TrigReport     1   87        206        206          0          0 hltElePixelSeedsCombined
TrigReport     1   88        206        206          0          0 hltEgammaElectronPixelSeeds
TrigReport     1   89        206        206          0          0 hltEgammaPixelMatchVars
TrigReport     1   90        206        198          8          0 hltEle25WPNonePixelMatchFilter
TrigReport     1   91        198        198          0          0 hltEle25WPNoneS2Filter
TrigReport     1   92        198        198          0          0 hltEgammaCkfTrackCandidatesForGSF
TrigReport     1   93        198        198          0          0 hltEgammaGsfTracks
TrigReport     1   94        198        198          0          0 hltEgammaGsfElectrons
TrigReport     1   95        198        198          0          0 hltEgammaGsfTrackVars
TrigReport     1   96        198        198          0          0 hltEle25WPNoneGsfOneOEMinusOneOPFilter
TrigReport     1   97        198        198          0          0 hltEle25WPNoneGsfChi2Filter
TrigReport     1   98        198        198          0          0 hltEle25WPNoneGsfMissingHitsFilter
TrigReport     1   99        198        198          0          0 hltEle25WPNoneGsfDetaFilter
TrigReport     1  100        198        198          0          0 hltEle25WPNoneGsfDphiFilter
TrigReport     1  101        198        198          0          0 hltElectronsVertex
TrigReport     1  102        198        198          0          0 hltSiPixelDigis
TrigReport     1  103        198        198          0          0 hltSiPixelClusters
TrigReport     1  104        198        198          0          0 hltSiPixelClustersCache
TrigReport     1  105        198        198          0          0 hltSiPixelRecHits
TrigReport     1  106        198        198          0          0 hltPixelLayerTriplets
TrigReport     1  107        198        198          0          0 hltPixelTracksElectronsFilter
TrigReport     1  108        198        198          0          0 hltPixelTracksElectronsFitter
TrigReport     1  109        198        198          0          0 hltPixelTracksTrackingRegionsElectrons
TrigReport     1  110        198        198          0          0 hltPixelTracksHitDoubletsElectrons
TrigReport     1  111        198        198          0          0 hltPixelTracksHitTripletsElectrons
TrigReport     1  112        198        198          0          0 hltPixelTracksElectrons
TrigReport     1  113        198        198          0          0 hltPixelVerticesElectrons
TrigReport     1  114        198        198          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1  115        198        198          0          0 hltSiStripRawToClustersFacility
TrigReport     1  116        198        198          0          0 hltSiStripClusters
TrigReport     1  117        198        198          0          0 hltIter0ElectronsPixelSeedsFromPixelTracks
TrigReport     1  118        198        198          0          0 hltIter0ElectronsCkfTrackCandidates
TrigReport     1  119        198        198          0          0 hltIter0ElectronsCtfWithMaterialTracks
TrigReport     1  120        198        198          0          0 hltIter0ElectronsTrackSelectionHighPurity
TrigReport     1  121        198        198          0          0 hltIter1ElectronsClustersRefRemoval
TrigReport     1  122        198        198          0          0 hltIter1ElectronsMaskedMeasurementTrackerEvent
TrigReport     1  123        198        198          0          0 hltIter1ElectronsPixelLayerTriplets
TrigReport     1  124        198        198          0          0 hltIter1ElectronsPixelTrackingRegions
TrigReport     1  125        198        198          0          0 hltIter1ElectronsPixelClusterCheck
TrigReport     1  126        198        198          0          0 hltIter1ElectronsPixelHitDoublets
TrigReport     1  127        198        198          0          0 hltIter1ElectronsPixelHitTriplets
TrigReport     1  128        198        198          0          0 hltIter1ElectronsPixelSeeds
TrigReport     1  129        198        198          0          0 hltIter1ElectronsCkfTrackCandidates
TrigReport     1  130        198        198          0          0 hltIter1ElectronsCtfWithMaterialTracks
TrigReport     1  131        198        198          0          0 hltIter1ElectronsTrackSelectionHighPurityLoose
TrigReport     1  132        198        198          0          0 hltIter1ElectronsTrackSelectionHighPurityTight
TrigReport     1  133        198        198          0          0 hltIter1ElectronsTrackSelectionHighPurity
TrigReport     1  134        198        198          0          0 hltIter1MergedForElectrons
TrigReport     1  135        198        198          0          0 hltIter2ElectronsClustersRefRemoval
TrigReport     1  136        198        198          0          0 hltIter2ElectronsMaskedMeasurementTrackerEvent
TrigReport     1  137        198        198          0          0 hltIter2ElectronsPixelLayerPairs
TrigReport     1  138        198        198          0          0 hltIter2ElectronsPixelTrackingRegions
TrigReport     1  139        198        198          0          0 hltIter2ElectronsPixelClusterCheck
TrigReport     1  140        198        198          0          0 hltIter2ElectronsPixelHitDoublets
TrigReport     1  141        198        198          0          0 hltIter2ElectronsPixelSeeds
TrigReport     1  142        198        198          0          0 hltIter2ElectronsCkfTrackCandidates
TrigReport     1  143        198        198          0          0 hltIter2ElectronsCtfWithMaterialTracks
TrigReport     1  144        198        198          0          0 hltIter2ElectronsTrackSelectionHighPurity
TrigReport     1  145        198        198          0          0 hltIter2MergedForElectrons
TrigReport     1  146        198        198          0          0 hltEgammaEleGsfTrackIso
TrigReport     1  147        198        198          0          0 hltEle25WPNoneGsfTrackIsoFilter
TrigReport     1  148        198        198          0          0 hltBoolEnd
